epoch,train_acc,test_acc,train_loss,test_loss
1,0.35556000,0.44930000,1.79641838,1.53273321
2,0.48462000,0.44780000,1.41355413,1.54076543
3,0.55302000,0.52280000,1.25011070,1.33648553
4,0.58930000,0.56440000,1.15607902,1.24981501
5,0.61320000,0.54970000,1.08717061,1.28397680
6,0.64124000,0.67480000,1.02469594,0.92965279
7,0.65846000,0.68920000,0.98561722,0.88649417
8,0.67056000,0.65760000,0.93931524,0.96376150
9,0.68252000,0.63370000,0.91321255,1.05133506
10,0.69810000,0.69210000,0.87494700,0.89046996
11,0.70422000,0.66260000,0.85049709,0.96795002
12,0.71582000,0.66620000,0.82393684,0.97772757
13,0.72910000,0.69130000,0.79028689,0.91079913
14,0.73714000,0.70030000,0.76153137,0.89446401
15,0.74414000,0.69170000,0.74917117,0.92701256
16,0.74828000,0.67400000,0.73162266,0.98574296
17,0.75506000,0.73320000,0.71302335,0.76302915
18,0.76300000,0.67640000,0.69079145,0.95213385
19,0.76860000,0.73420000,0.67457893,0.80363656
20,0.77362000,0.71270000,0.65980243,0.87726058
21,0.77794000,0.75600000,0.64862164,0.70997983
22,0.78570000,0.73230000,0.63243606,0.81374244
23,0.78754000,0.75970000,0.62367563,0.70351220
24,0.79470000,0.76010000,0.60752318,0.70406247
25,0.79678000,0.74890000,0.59876202,0.74831977
26,0.79904000,0.76800000,0.58638398,0.67793224
27,0.80196000,0.74690000,0.58403428,0.76938103
28,0.80876000,0.73270000,0.56593928,0.77384624
29,0.81184000,0.71630000,0.55902316,0.82521208
30,0.81138000,0.77730000,0.55057319,0.66155817
31,0.81512000,0.76190000,0.54387667,0.71557458
32,0.82072000,0.74350000,0.52855718,0.76818340
33,0.82162000,0.79500000,0.52137257,0.59419020
34,0.82242000,0.79110000,0.52118386,0.61532871
35,0.82794000,0.76420000,0.50712409,0.68643666
36,0.82794000,0.80970000,0.50635443,0.57405982
37,0.83268000,0.69190000,0.49375358,0.93816292
38,0.83722000,0.77370000,0.48414503,0.66147201
39,0.83734000,0.78810000,0.48253968,0.64828849
40,0.83750000,0.77760000,0.47651346,0.65663409
41,0.84008000,0.80630000,0.46777449,0.55701201
42,0.84448000,0.78160000,0.45992438,0.66075281
43,0.84504000,0.80410000,0.45634686,0.57309957
44,0.84626000,0.78540000,0.44736009,0.65020954
45,0.85078000,0.76790000,0.44131943,0.69858862
46,0.85098000,0.79450000,0.43271484,0.61418169
47,0.85498000,0.80330000,0.42748550,0.60001179
48,0.85380000,0.80780000,0.42499075,0.57163303
49,0.85430000,0.80770000,0.42092951,0.57590712
50,0.85832000,0.80680000,0.41550328,0.59200088
51,0.86022000,0.81420000,0.40699043,0.56777226
52,0.85850000,0.81680000,0.40894339,0.54105294
53,0.86382000,0.79430000,0.39977881,0.62012991
54,0.86568000,0.80760000,0.39397245,0.60617559
55,0.86668000,0.81450000,0.38954010,0.55255364
56,0.86892000,0.80140000,0.38368330,0.60682043
57,0.86878000,0.81250000,0.38746393,0.56971761
58,0.86940000,0.80070000,0.38193312,0.61902614
59,0.87140000,0.82350000,0.37390735,0.53712802
60,0.87360000,0.81220000,0.36979086,0.58136481
61,0.87448000,0.81650000,0.36253870,0.56018007
62,0.87752000,0.81350000,0.35836487,0.57290142
63,0.87638000,0.81460000,0.35705094,0.58113949
64,0.87908000,0.82660000,0.35087464,0.52905887
65,0.88004000,0.82430000,0.34823071,0.55632925
66,0.88132000,0.82920000,0.34279091,0.51295800
67,0.88362000,0.82240000,0.34110999,0.55053931
68,0.88502000,0.81960000,0.33645420,0.55182420
69,0.88438000,0.82210000,0.33565525,0.54900920
70,0.88658000,0.82910000,0.32916084,0.53856552
71,0.88740000,0.83020000,0.32884800,0.52490315
72,0.88898000,0.82830000,0.32633784,0.53587007
73,0.89018000,0.83190000,0.31570352,0.53130502
74,0.89034000,0.82600000,0.31747312,0.54376032
75,0.89106000,0.82740000,0.31802389,0.53728236
76,0.89158000,0.82500000,0.31733715,0.54675894
77,0.89362000,0.83290000,0.31063820,0.53448724
78,0.89290000,0.83240000,0.30598520,0.53492442
79,0.89424000,0.83340000,0.30870799,0.52549378
80,0.89450000,0.83240000,0.30817629,0.52820733
81,0.89430000,0.82660000,0.30804974,0.55555392
82,0.89636000,0.83630000,0.30128735,0.52366731
83,0.89600000,0.82960000,0.30219591,0.53763397
84,0.89480000,0.83310000,0.29976353,0.52533533
85,0.89700000,0.83160000,0.29433343,0.52885998
86,0.89772000,0.83460000,0.29968112,0.51419757
87,0.89934000,0.83110000,0.29450567,0.52989709
88,0.89834000,0.83570000,0.29387637,0.51995789
89,0.89740000,0.83180000,0.29349168,0.53584084
90,0.90068000,0.83160000,0.29000188,0.52785041
91,0.89948000,0.83440000,0.29177945,0.52198832
92,0.90072000,0.83590000,0.29062180,0.51767841
93,0.89986000,0.83520000,0.28987267,0.52648469
94,0.90064000,0.83260000,0.28642648,0.52341113
95,0.89858000,0.83410000,0.29152898,0.52427794
96,0.89834000,0.83370000,0.29086049,0.52307552
97,0.89990000,0.83420000,0.28870289,0.51634967
98,0.90110000,0.83500000,0.28822172,0.51601231
99,0.89988000,0.83510000,0.29309339,0.51879587
100,0.90164000,0.83290000,0.28970158,0.52800999
101,0.90022000,0.83470000,0.28778356,0.52163444
102,0.89978000,0.83400000,0.28831265,0.52198914
103,0.89986000,0.83390000,0.29127306,0.52968016
104,0.89944000,0.83280000,0.28687340,0.53304343
105,0.90002000,0.83320000,0.28877249,0.52799657
106,0.89980000,0.83400000,0.29019986,0.53458373
107,0.89994000,0.83510000,0.28861178,0.51887977
108,0.89886000,0.83510000,0.29053085,0.52605012
109,0.89956000,0.83520000,0.28867811,0.52062824
110,0.90034000,0.83420000,0.28848127,0.53176689
111,0.90168000,0.83390000,0.28652477,0.52374903
112,0.89988000,0.83300000,0.29055023,0.53482569
113,0.90068000,0.83550000,0.28948221,0.52060508
114,0.89930000,0.83420000,0.29084121,0.52831875
115,0.90090000,0.83470000,0.28784155,0.52726231
116,0.89974000,0.83390000,0.28994666,0.53046560
117,0.89994000,0.83290000,0.28970323,0.53070894
118,0.90042000,0.83120000,0.28871747,0.53414494
119,0.90218000,0.83150000,0.28442843,0.54061745
120,0.89942000,0.83170000,0.29288470,0.52915178
121,0.89746000,0.83280000,0.29461806,0.53587497
122,0.89952000,0.83470000,0.29065099,0.51892366
123,0.89902000,0.83170000,0.29354643,0.54267333
124,0.89964000,0.83120000,0.28985392,0.53694636
125,0.90092000,0.83020000,0.28689603,0.54254714
126,0.89998000,0.83510000,0.29329060,0.53652831
127,0.89924000,0.83110000,0.29108735,0.55452372
128,0.89862000,0.83830000,0.29137690,0.51957222
129,0.89864000,0.83500000,0.29375653,0.53266034
130,0.90024000,0.82040000,0.29044318,0.57771332
131,0.89760000,0.82090000,0.29584807,0.57487705
132,0.89810000,0.82180000,0.29347554,0.57514277
133,0.89654000,0.82280000,0.29778808,0.56346542
134,0.89820000,0.81130000,0.29398223,0.59273859
135,0.89666000,0.82220000,0.29731250,0.57190952
136,0.89734000,0.83050000,0.29806627,0.52441752
137,0.89714000,0.81260000,0.29582118,0.60802113
138,0.89618000,0.81880000,0.30096261,0.58444021
139,0.89592000,0.82040000,0.29826875,0.56169049
140,0.89688000,0.78800000,0.29743120,0.69590504
141,0.89558000,0.83510000,0.29960149,0.53702556
142,0.89572000,0.81870000,0.30455490,0.61066762
143,0.89400000,0.80560000,0.30313254,0.63044266
144,0.89528000,0.83030000,0.30217031,0.53877211
145,0.89456000,0.82630000,0.30832269,0.54567939
146,0.89468000,0.81720000,0.30277523,0.59278280
147,0.89358000,0.82340000,0.30659910,0.55067517
148,0.89154000,0.82680000,0.31274454,0.55704836
149,0.89204000,0.80570000,0.30975944,0.61392748
150,0.89040000,0.79680000,0.31357506,0.67356009
151,0.89086000,0.81230000,0.31261736,0.64253706
152,0.89124000,0.81850000,0.31528349,0.58369513
153,0.89270000,0.81890000,0.31199691,0.58369482
154,0.89232000,0.81730000,0.31343507,0.61464965
155,0.89056000,0.81310000,0.31626270,0.61096019
156,0.88942000,0.78530000,0.31645845,0.74672231
157,0.88918000,0.79950000,0.31673010,0.60926017
158,0.89004000,0.82170000,0.31692278,0.59024911
159,0.88932000,0.78640000,0.31934840,0.74219472
160,0.88912000,0.79360000,0.32088759,0.66181530
161,0.88948000,0.82040000,0.32138321,0.58615224
162,0.88700000,0.78110000,0.32547911,0.73228024
163,0.88900000,0.82140000,0.31694166,0.57625183
164,0.88774000,0.80640000,0.32412505,0.64950708
165,0.88750000,0.81660000,0.32238230,0.59106822
166,0.88536000,0.81220000,0.32878392,0.59932643
167,0.88576000,0.77730000,0.33058765,0.74498610
168,0.88704000,0.79590000,0.32752939,0.69857201
169,0.88646000,0.81070000,0.32755581,0.60395003
170,0.88736000,0.81640000,0.32657519,0.57165382
171,0.88890000,0.80270000,0.32038001,0.68515564
172,0.88596000,0.81040000,0.32809838,0.61621867
173,0.88640000,0.80930000,0.32634491,0.60377698
174,0.88670000,0.74100000,0.32715429,0.84370764
175,0.88592000,0.77690000,0.33121629,0.81034762
176,0.88784000,0.80870000,0.32765558,0.64739072
177,0.88804000,0.79810000,0.32448136,0.67724673
178,0.88504000,0.80870000,0.33043616,0.62503896
179,0.88622000,0.78200000,0.33353128,0.72958117
180,0.88580000,0.82640000,0.33414559,0.55590238
181,0.88544000,0.81300000,0.32958944,0.59113788
182,0.88538000,0.78320000,0.33095682,0.74727276
183,0.88550000,0.81930000,0.32862465,0.58902711
184,0.88644000,0.76250000,0.32681938,0.76695266
185,0.88612000,0.79130000,0.33090526,0.69302773
186,0.88500000,0.78380000,0.33320948,0.73167890
187,0.88740000,0.80620000,0.32837613,0.61413522
188,0.88616000,0.80070000,0.32894819,0.64451702
189,0.88792000,0.80370000,0.32585868,0.68648901
190,0.88686000,0.81480000,0.32527360,0.60548238
191,0.88912000,0.76570000,0.32089623,0.80380282
192,0.88660000,0.77480000,0.33026941,0.74951083
193,0.88890000,0.75120000,0.32277193,0.87768444
194,0.88952000,0.82860000,0.31544997,0.54578835
195,0.89074000,0.81070000,0.31282593,0.62592377
196,0.88566000,0.79330000,0.32565220,0.75656524
197,0.89036000,0.79080000,0.31709874,0.69345404
198,0.88806000,0.80830000,0.32032614,0.63263893
199,0.89096000,0.82080000,0.31561024,0.59573697
200,0.89076000,0.79190000,0.31684480,0.70851861
201,0.88946000,0.80410000,0.31583519,0.66543463
202,0.89280000,0.82100000,0.31072711,0.60116984
203,0.89308000,0.80460000,0.30757039,0.65392443
204,0.89324000,0.78560000,0.30949506,0.73353345
205,0.89370000,0.78680000,0.30635838,0.72599422
206,0.89350000,0.77850000,0.30572069,0.79672421
207,0.89314000,0.82740000,0.30676849,0.56087778
208,0.89396000,0.81970000,0.30628058,0.59640767
209,0.89594000,0.78750000,0.29796003,0.72112893
210,0.89570000,0.79650000,0.30178478,0.71229633
211,0.89528000,0.81770000,0.29883288,0.58855764
212,0.89644000,0.80150000,0.29756697,0.67638611
213,0.89652000,0.78930000,0.29534655,0.74768736
214,0.89708000,0.78770000,0.29714289,0.73706138
215,0.89812000,0.80350000,0.29539709,0.67037683
216,0.89898000,0.81360000,0.29408783,0.59958990
217,0.89986000,0.80570000,0.29129534,0.65034533
218,0.90104000,0.81860000,0.28724551,0.60738801
219,0.90192000,0.81080000,0.28357432,0.67532198
220,0.90174000,0.83200000,0.28911375,0.55790133
221,0.90362000,0.81530000,0.27674047,0.58798370
222,0.90174000,0.80320000,0.27860530,0.68597297
223,0.90378000,0.80270000,0.27597114,0.71437749
224,0.90604000,0.81910000,0.27205256,0.63613241
225,0.90446000,0.82340000,0.27365859,0.60403130
226,0.90564000,0.81440000,0.26895835,0.62468740
227,0.90790000,0.79860000,0.26581617,0.72871967
228,0.90710000,0.81670000,0.26804561,0.62779509
229,0.90800000,0.82080000,0.26681741,0.64428791
230,0.90936000,0.83200000,0.26513350,0.56237568
231,0.90792000,0.82790000,0.26555570,0.57159863
232,0.91018000,0.80640000,0.25728646,0.68594619
233,0.91162000,0.79190000,0.25538750,0.76046506
234,0.91178000,0.82870000,0.25738747,0.61470899
235,0.91392000,0.81980000,0.24877550,0.64736462
236,0.91278000,0.83030000,0.24898677,0.60359015
237,0.91440000,0.82570000,0.24691509,0.58676163
238,0.91452000,0.79770000,0.24731592,0.72932280
239,0.91436000,0.82860000,0.24563709,0.58578674
240,0.91776000,0.82650000,0.24032603,0.61765614
241,0.91694000,0.82780000,0.23575983,0.59526204
242,0.91978000,0.83570000,0.23353791,0.56711821
243,0.91910000,0.80640000,0.23163280,0.71522956
244,0.91654000,0.81090000,0.23842158,0.68792509
245,0.91992000,0.82430000,0.23016192,0.61665393
246,0.92216000,0.82860000,0.22627112,0.60395038
247,0.92180000,0.81490000,0.22609897,0.64751801
248,0.92362000,0.81780000,0.21860908,0.65884860
249,0.92430000,0.82260000,0.21720679,0.64294430
250,0.92286000,0.81980000,0.21948228,0.65785491
251,0.92374000,0.82160000,0.21660261,0.63702122
252,0.92530000,0.83360000,0.21527352,0.58297536
253,0.92596000,0.83410000,0.21491389,0.59782336
254,0.92594000,0.82390000,0.21383331,0.63451044
255,0.92906000,0.83400000,0.20473279,0.59163822
256,0.92684000,0.82760000,0.20876947,0.59530281
257,0.92994000,0.83390000,0.20191213,0.58788867
258,0.92858000,0.82180000,0.20604262,0.65066401
259,0.93162000,0.83080000,0.19785816,0.63643779
260,0.93302000,0.81630000,0.19448568,0.69684448
261,0.93090000,0.82780000,0.20003205,0.63103801
262,0.93120000,0.83470000,0.19778581,0.59314261
263,0.93180000,0.83240000,0.19419862,0.59019665
264,0.93404000,0.83900000,0.19185534,0.59170704
265,0.93262000,0.83650000,0.19429426,0.59581007
266,0.93462000,0.83780000,0.19082870,0.58070702
267,0.93262000,0.84340000,0.19295529,0.57619112
268,0.93400000,0.84490000,0.18713784,0.57113607
269,0.93552000,0.83960000,0.18404807,0.59365002
270,0.93750000,0.83470000,0.17985456,0.61757158
271,0.93708000,0.83590000,0.18066197,0.61636846
272,0.93632000,0.84420000,0.18389601,0.57150729
273,0.93872000,0.83480000,0.17552645,0.63426724
274,0.93902000,0.84200000,0.17786122,0.58558487
275,0.93850000,0.83980000,0.17809062,0.59048316
276,0.93900000,0.84290000,0.17746053,0.58549034
277,0.93826000,0.83990000,0.17646706,0.59741874
278,0.93980000,0.84160000,0.17124719,0.59366392
279,0.93978000,0.83960000,0.17430200,0.58116238
280,0.94052000,0.83900000,0.17245353,0.60132119
281,0.94096000,0.84370000,0.16966201,0.59210852
282,0.94202000,0.84310000,0.16572793,0.57934861
283,0.94148000,0.84080000,0.16851984,0.61025642
284,0.94184000,0.84140000,0.16803748,0.60290333
285,0.93996000,0.84430000,0.17245230,0.57729439
286,0.94256000,0.84000000,0.16692327,0.60237056
287,0.94096000,0.84410000,0.16719936,0.57918389
288,0.94136000,0.84450000,0.16911185,0.58389130
289,0.94258000,0.84500000,0.16512347,0.58071380
290,0.94114000,0.84360000,0.16790709,0.58009828
291,0.94298000,0.84270000,0.16377645,0.59142229
292,0.94530000,0.84270000,0.16263089,0.58697093
293,0.94390000,0.84320000,0.16193043,0.60159941
294,0.94250000,0.84270000,0.16561827,0.59761165
295,0.94252000,0.84470000,0.16369930,0.58548268
296,0.94296000,0.84410000,0.16449468,0.59540462
297,0.94232000,0.84570000,0.16483075,0.58094698
298,0.94088000,0.84400000,0.16757824,0.59460395
299,0.94262000,0.84580000,0.16149501,0.57828390
300,0.94372000,0.84440000,0.16338257,0.58565788
